stage,time_begin,time_end,date,festival_name,festival_year,bands_name
THE AMPHITHEATRE,15:15:00,16:15:00,2019-10-24,SUWANNEE HULAWEEN,2019,JADEN CARLSON BAND
THE AMPHITHEATRE,17:15:00,18:15:00,2019-10-24,SUWANNEE HULAWEEN,2019,EOTO
THE AMPHITHEATRE,19:15:00,20:30:00,2019-10-24,SUWANNEE HULAWEEN,2019,TYCHO
THE AMPHITHEATRE,21:30:00,23:10:00,2019-10-24,SUWANNEE HULAWEEN,2019,GREENSKY BLUEGRASS
THE PATCH,14:15:00,15:15:00,2019-10-24,SUWANNEE HULAWEEN,2019,MAGIC CITY HIPPIES
THE PATCH,16:00:00,17:00:00,2019-10-24,SUWANNEE HULAWEEN,2019,KYLE HOLLINGSWORTH BAND
THE PATCH,18:00:00,19:00:00,2019-10-24,SUWANNEE HULAWEEN,2019,CIRCLES AROUND THE SUN
THE PATCH,20:00:00,22:00:00,2019-10-24,SUWANNEE HULAWEEN,2019,UMPHREY'S MCGEE
THE PATCH,23:00:00,1:00:00,2019-10-24,SUWANNEE HULAWEEN,2019,STS9
SPIRIT LAKE,14:30:00,15:30:00,2019-10-24,SUWANNEE HULAWEEN,2019,HOLLY WOODS
SPIRIT LAKE,16:00:00,17:00:00,2019-10-24,SUWANNEE HULAWEEN,2019,CHARLIE HUSTLE
SPIRIT LAKE,17:20:00,18:20:00,2019-10-24,SUWANNEE HULAWEEN,2019,NICKFRESH
SPIRIT LAKE,18:40:00,19:40:00,2019-10-24,SUWANNEE HULAWEEN,2019,MARVEL YEARS
SPIRIT LAKE,20:00:00,21:00:00,2019-10-24,SUWANNEE HULAWEEN,2019,JUSTIN JAY
SPIRIT LAKE,21:20:00,22:20:00,2019-10-24,SUWANNEE HULAWEEN,2019,WHIPPED CREAM
SPIRIT LAKE,22:40:00,23:40:00,2019-10-24,SUWANNEE HULAWEEN,2019,PEEKABOO
SPIRIT LAKE,0:00:00,1:00:00,2019-10-24,SUWANNEE HULAWEEN,2019,SNAILS
CAMPGROUND,14:30:00,15:45:00,2019-10-24,SUWANNEE HULAWEEN,2019,THE GOOD WOOD BAND
CAMPGROUND,16:45:00,18:00:00,2019-10-24,SUWANNEE HULAWEEN,2019,DANKA
CAMPGROUND,19:00:00,20:15:00,2019-10-24,SUWANNEE HULAWEEN,2019,ELECTRIC KIF
CAMPGROUND,21:15:00,22:30:00,2019-10-24,SUWANNEE HULAWEEN,2019,SPACE KADET
CAMPGROUND,23:30:00,1:00:00,2019-10-24,SUWANNEE HULAWEEN,2019,POLYRYTHMICS
THE MEADOW,15:30:00,16:30:00,2019-10-25,SUWANNEE HULAWEEN,2019,THE MOTET
THE MEADOW,17:30:00,18:45:00,2019-10-25,SUWANNEE HULAWEEN,2019,LETTUCE
THE MEADOW,19:45:00,21:00:00,2019-10-25,SUWANNEE HULAWEEN,2019,THE STRING CHEESE INCIDENT
THE MEADOW,21:45:00,23:15:00,2019-10-25,SUWANNEE HULAWEEN,2019,THE STRING CHEESE INCIDENT
THE MEADOW,0:15:00,1:30:00,2019-10-25,SUWANNEE HULAWEEN,2019,BASSNECTAR
THE AMPHITHEATRE,14:45:00,15:45:00,2019-10-25,SUWANNEE HULAWEEN,2019,"KALEIGH BAKER""S SOMEDAY HONEY"
THE AMPHITHEATRE,16:45:00,17:45:00,2019-10-25,SUWANNEE HULAWEEN,2019,ANDY FRASCO & THE U.N.
THE AMPHITHEATRE,18:45:00,19:45:00,2019-10-25,SUWANNEE HULAWEEN,2019,TOM MORELLO
THE AMPHITHEATRE,21:00:00,22:00:00,2019-10-25,SUWANNEE HULAWEEN,2019,CLOZEE
THE AMPHITHEATRE,23:15:00,12:15:00,2019-10-25,SUWANNEE HULAWEEN,2019,JAI WOLF
THE PATCH,14:45:00,15:45:00,2019-10-25,SUWANNEE HULAWEEN,2019,"BRANDON ""TAZ"" NIEDERAUER"
THE PATCH,16:45:00,17:45:00,2019-10-25,SUWANNEE HULAWEEN,2019,"ROBERT WALTER""S 20TH CONGRESS"
THE PATCH,18:45:00,19:45:00,2019-10-25,SUWANNEE HULAWEEN,2019,"PIGEON""S PLAYING PING PONG"
THE PATCH,20:15:00,21:45:00,2019-10-25,SUWANNEE HULAWEEN,2019,STS9
THE PATCH,22:45:00,0:15:00,2019-10-25,SUWANNEE HULAWEEN,2019,UMPHREY's MCGEE
