stage,time_begin,time_end,date,festival_name,festival_year,bands_name
THE AMPHITHEATRE,15:15,16:15,2019-10-24,SUWANNEE HULAWEEN,2019,JADEN CARLSON BAND
THE AMPHITHEATRE,17:15,18:15,2019-10-24,SUWANNEE HULAWEEN,2019,EOTO
THE AMPHITHEATRE,7:15 PM,8:30 PM,2019-10-24,SUWANNEE HULAWEEN,2019,TYCHO
THE AMPHITHEATRE,9:30 PM,11:10 PM,2019-10-24,SUWANNEE HULAWEEN,2019,GREENSKY BLUEGRASS
THE PATCH,2:15 PM,3:15 PM,2019-10-24,SUWANNEE HULAWEEN,2019,MAGIC CITY HIPPIES
THE PATCH,4:00 PM,5:00 PM,2019-10-24,SUWANNEE HULAWEEN,2019,KYLE HOLLINGSWORTH BAND
THE PATCH,6:00 PM,7:00 PM,2019-10-24,SUWANNEE HULAWEEN,2019,CIRCLES AROUND THE SUN
THE PATCH,8:00 PM,10:00 PM,2019-10-24,SUWANNEE HULAWEEN,2019,UMPHREY'S MCGEE
THE PATCH,11:00 PM,1:00 AM,2019-10-24,SUWANNEE HULAWEEN,2019,STS9
SPIRIT LAKE,2:30 PM,3:30 PM,2019-10-24,SUWANNEE HULAWEEN,2019,HOLLY WOODS
SPIRIT LAKE,4:00 PM,5:00 PM,2019-10-24,SUWANNEE HULAWEEN,2019,CHARLIE HUSTLE
SPIRIT LAKE,5:20 PM,6:20 PM,2019-10-24,SUWANNEE HULAWEEN,2019,NICKFRESH
SPIRIT LAKE,6:40 PM,7:40 PM,2019-10-24,SUWANNEE HULAWEEN,2019,MARVEL YEARS
SPIRIT LAKE,8:00 PM,9:00 PM,2019-10-24,SUWANNEE HULAWEEN,2019,JUSTIN JAY
SPIRIT LAKE,9:20 PM,10:20 PM,2019-10-24,SUWANNEE HULAWEEN,2019,WHIPPED CREAM
SPIRIT LAKE,10:40 PM,11:40 PM,2019-10-24,SUWANNEE HULAWEEN,2019,PEEKABOO
SPIRIT LAKE,12:00 AM,1:00 AM,2019-10-24,SUWANNEE HULAWEEN,2019,SNAILS
CAMPGROUND,2:30 PM,3:45 PM,2019-10-24,SUWANNEE HULAWEEN,2019,THE GOOD WOOD BAND
CAMPGROUND,4:45 PM,6:00 PM,2019-10-24,SUWANNEE HULAWEEN,2019,DANKA
CAMPGROUND,7:00 PM,8:15 PM,2019-10-24,SUWANNEE HULAWEEN,2019,ELECTRIC KIF
CAMPGROUND,9:15 PM,10:30 PM,2019-10-24,SUWANNEE HULAWEEN,2019,SPACE KADET
CAMPGROUND,11:30 PM,1:00 AM,2019-10-24,SUWANNEE HULAWEEN,2019,POLYRYTHMICS
THE MEADOW,3:30 PM,4:30 PM,2019-10-25,SUWANNEE HULAWEEN,2019,THE MOTET
THE MEADOW,5:30 PM,6:45 PM,2019-10-25,SUWANNEE HULAWEEN,2019,LETTUCE
THE MEADOW,7:45 PM,9:00 PM,2019-10-25,SUWANNEE HULAWEEN,2019,THE STRING CHEESE INCIDENT
THE MEADOW,9:45 PM,11:15 PM,2019-10-25,SUWANNEE HULAWEEN,2019,THE STRING CHEESE INCIDENT
THE MEADOW,12:15 AM,1:30 AM,2019-10-25,SUWANNEE HULAWEEN,2019,BASSNECTAR
THE AMPHITHEATRE,2:45 PM,3:45 PM,2019-10-25,SUWANNEE HULAWEEN,2019,"KALEIGH BAKER""S SOMEDAY HONEY"
THE AMPHITHEATRE,4:45 PM,5:45 PM,2019-10-25,SUWANNEE HULAWEEN,2019,ANDY FRASCO & THE U.N.
THE AMPHITHEATRE,6:45 PM,7:45 PM,2019-10-25,SUWANNEE HULAWEEN,2019,TOM MORELLO
THE AMPHITHEATRE,9:00 PM,10:00 PM,2019-10-25,SUWANNEE HULAWEEN,2019,CLOZEE
THE AMPHITHEATRE,11:15 PM,12:15 PM,2019-10-25,SUWANNEE HULAWEEN,2019,JAI WOLF
THE PATCH,2:45 PM,3:45 PM,2019-10-25,SUWANNEE HULAWEEN,2019,"BRANDON ""TAZ"" NIEDERAUER"
THE PATCH,4:45 PM,5:45 PM,2019-10-25,SUWANNEE HULAWEEN,2019,"ROBERT WALTER""S 20TH CONGRESS"
THE PATCH,6:45 PM,7:45 PM,2019-10-25,SUWANNEE HULAWEEN,2019,"PIGEON""S PLAYING PING PONG"
THE PATCH,8:15 PM,9:45 PM,2019-10-25,SUWANNEE HULAWEEN,2019,STS9
THE PATCH,10:45 PM,12:15 AM,2019-10-25,SUWANNEE HULAWEEN,2019,UMPHREY's MCGEE
SPIRIT LAKE,3:45 PM,4:45 PM,2019-10-25,SUWANNEE HULAWEEN,2019,THOMAS WYNN AND THE BELIEVERS
SPIRIT LAKE,5:45 PM,6:45 PM,2019-10-25,SUWANNEE HULAWEEN,2019,THE FUNK HUNTERS
SPIRIT LAKE,7:45 PM,9:00 PM,2019-10-25,SUWANNEE HULAWEEN,2019,TAUK
SPIRIT LAKE,10:00 PM,11:15 PM,2019-10-25,SUWANNEE HULAWEEN,2019,BREAK SCIENCE LIVE BAND
SPIRIT LAKE,12:15 AM,1:45 AM,2019-10-25,SUWANNEE HULAWEEN,2019,MARC REBILLET
SPIRIT LAKE,2:30 AM,4:00 AM,2019-10-25,SUWANNEE HULAWEEN,2019,JOE STICKLEY TRIO
CAMPGROUND,2:30 PM,3:30 PM,2019-10-25,SUWANNEE HULAWEEN,2019,BEARS & LIONS
CAMPGROUND,4:30 PM,5:30 PM,2019-10-25,SUWANNEE HULAWEEN,2019,FIREWATER REVIVAL
CAMPGROUND,6:30 PM,7:30 PM,2019-10-25,SUWANNEE HULAWEEN,2019,OKLAHOMA STACKHOUSE
CAMPGROUND,8:15 PM,9:15 PM,2019-10-25,SUWANNEE HULAWEEN,2019,SADSONGS
CAMPGROUND,9:45 PM,10:45 PM,2019-10-25,SUWANNEE HULAWEEN,2019,BELLS & ROBES
CAMPGROUND,11:30 PM,1:00 AM,2019-10-25,SUWANNEE HULAWEEN,2019,THE HEAVY PETS
THE MEADOW,3:15 PM,4:20 PM,2019-10-26,SUWANNEE HULAWEEN,2019,STEEL PULSE
THE MEADOW,4:15 PM,6:30 PM,2019-10-26,SUWANNEE HULAWEEN,2019,THE STRING CHEESE INCIDENT
THE MEADOW,7:30 PM,8:45 PM,2019-10-26,SUWANNEE HULAWEEN,2019,THE STRING CHEESE INCIDENT
THE MEADOW,9:45 PM,11:15 PM,2019-10-26,SUWANNEE HULAWEEN,2019,THE STRING CHEESE INCIDENT
THE MEADOW,12:15 AM,1:45 AM,2019-10-26,SUWANNEE HULAWEEN,2019,ANDERSON .PAAK & THE FREE NATIONALS
THE AMPHITHEATRE,2:30 PM,3:30 PM,2019-10-26,SUWANNEE HULAWEEN,2019,MZG
THE AMPHITHEATRE,4:15 PM,5:15 PM,2019-10-26,SUWANNEE HULAWEEN,2019,CHARLESTHEFIRST
THE AMPHITHEATRE,6:30 PM,7:30 PM,2019-10-26,SUWANNEE HULAWEEN,2019,PNUMA
THE AMPHITHEATRE,8:45 PM,9:45 PM,2019-10-26,SUWANNEE HULAWEEN,2019,MANIC FOCUS
THE AMPHITHEATRE,11:15 PM,12:15 AM,2019-10-26,SUWANNEE HULAWEEN,2019,BIG WILD
THE PATCH,2:15 PM,3:15 PM,2019-10-26,SUWANNEE HULAWEEN,2019,SHEVONNE
THE PATCH,4:15 PM,5:15 PM,2019-10-26,SUWANNEE HULAWEEN,2019,THE HIP ABDUCTION
THE PATCH,6:30 PM,7:30 PM,2019-10-26,SUWANNEE HULAWEEN,2019,MARIBOU STATE
THE PATCH,8:45 PM,9:45 PM,2019-10-26,SUWANNEE HULAWEEN,2019,THUNDERCAT
THE PATCH,11:15 PM,12:15 AM,2019-10-26,SUWANNEE HULAWEEN,2019,FLYING LOTUS
SPIRIT LAKE,4:45 PM,5:45 PM,2019-10-26,SUWANNEE HULAWEEN,2019,VAMPA
SPIRIT LAKE,6:15 PM,7:15 PM,2019-10-26,SUWANNEE HULAWEEN,2019,NOBIDE
SPIRIT LAKE,7:45 PM,8:45 PM,2019-10-26,SUWANNEE HULAWEEN,2019,MEMBA
SPIRIT LAKE,9:15 PM,10:15 PM,2019-10-26,SUWANNEE HULAWEEN,2019,MIJA
SPIRIT LAKE,10:45 PM,11:45 PM,2019-10-26,SUWANNEE HULAWEEN,2019,SODOWN
SPIRIT LAKE,12:30 AM,1:45 AM,2019-10-26,SUWANNEE HULAWEEN,2019,DOOM FLAMINGO
SPIRIT LAKE,2:30 AM,4:00 AM,2019-10-26,SUWANNEE HULAWEEN,2019,THE GRASS IS DEAD
CAMPGROUND,2:30 PM,3:30 PM,2019-10-26,SUWANNEE HULAWEEN,2019,FUTURE VINTAGE
CAMPGROUND,4:15 PM,5:15 PM,2019-10-26,SUWANNEE HULAWEEN,2019,LPT
CAMPGROUND,6:15 PM,7:15 PM,2019-10-26,SUWANNEE HULAWEEN,2019,THE DIFFERENCE
CAMPGROUND,8:15 PM,9:45 PM,2019-10-26,SUWANNEE HULAWEEN,2019,SHAK NASTI
CAMPGROUND,11:15 PM,12:45 AM,2019-10-26,SUWANNEE HULAWEEN,2019,TRAVERS BROTHERSHIP
THE MEADOW,1:30 PM,2:45 PM,2019-10-27,SUWANNEE HULAWEEN,2019,BILLY STRINGS
THE MEADOW,3:45 PM,5:45 PM,2019-10-27,SUWANNEE HULAWEEN,2019,THE STRING CHEESE INCIDENT
THE MEADOW,6:45 PM,8:00 PM,2019-10-27,SUWANNEE HULAWEEN,2019,JASON ISBELL AND THE 400 UNIT
THE AMPHITHEATRE,12:30 PM,1:30 PM,2019-10-27,SUWANNEE HULAWEEN,2019,J. WORRA
THE AMPHITHEATRE,2:45 PM,3:45 PM,2019-10-27,SUWANNEE HULAWEEN,2019,WALKER & ROYCE
THE AMPHITHEATRE,5:45 PM,6:45 PM,2019-10-27,SUWANNEE HULAWEEN,2019,WHETHAN
THE AMPHITHEATRE,8:00 PM,9:00 PM,2019-10-27,SUWANNEE HULAWEEN,2019,TCHAMI
THE PATCH,2:00 PM,3:00 PM,2019-10-27,SUWANNEE HULAWEEN,2019,BEEBS AND HER MONEY MAKERS
THE PATCH,4:00 PM,5:00 PM,2019-10-27,SUWANNEE HULAWEEN,2019,G LOVE AND SPECIAL SAUCE
THE PATCH,6:00 PM,7:15 PM,2019-10-27,SUWANNEE HULAWEEN,2019,JOE RUSSO's ALMOST DEAD
THE PATCH,7:45 PM,9:00 PM,2019-10-27,SUWANNEE HULAWEEN,2019,JOE RUSSO's ALMOST DEAD
SPIRIT LAKE,12:45 PM,1:45 PM,2019-10-27,SUWANNEE HULAWEEN,2019,WALDEN
SPIRIT LAKE,2:30 PM,3:45 PM,2019-10-27,SUWANNEE HULAWEEN,2019,SPAGA
SPIRIT LAKE,4:45 PM,5:45 PM,2019-10-27,SUWANNEE HULAWEEN,2019,RIPE
SPIRIT LAKE,6:45 PM,8:00 PM,2019-10-27,SUWANNEE HULAWEEN,2019,STAR KITCHEN
CAMPGROUND,12:30 PM,1:30 PM,2019-10-27,SUWANNEE HULAWEEN,2019,SPIRAL LIGHT
CAMPGROUND,2:15 PM,3:15 PM,2019-10-27,SUWANNEE HULAWEEN,2019,ELLA JET & FUTURE SOUL
CAMPGROUND,4:00 PM,5:00 PM,2019-10-27,SUWANNEE HULAWEEN,2019,THE QUICKENING
CAMPGROUND,5:45 PM,7:00 PM,2019-10-27,SUWANNEE HULAWEEN,2019,ERICA FALLS
